dataset,gen_n,GAT,GCNN,GIN,GatedGCNN,LiftMP
ErdosRenyi,50.0,525.92 (0.02),500.94 (0.02),498.82 (0.02),526.78 (0.02),529.00 (0.02)
ErdosRenyi,100.0,1979.45 (0.02),1890.10 (0.02),1889.96 (0.02),1978.78 (0.02),1995.05 (0.02)
ErdosRenyi,400.0,16317.69 (0.02),15692.12 (0.02),15818.42 (0.02),16188.85 (0.02),16387.46 (0.02)
MUTAG,,27.89 (0.02),9.42 (0.02),9.42 (0.02),,27.95 (0.02)
ENZYMES,,80.73 (0.02),31.17 (0.02),74.60 (0.02),31.17 (0.02),81.42 (0.02)
PROTEINS,,100.94 (0.02),39.11 (0.02),92.98 (0.02),,102.24 (0.02)
IMDB-BINARY,,82.33 (0.02),45.59 (0.02),45.59 (0.02),,97.48 (0.02)
COLLAB,,2611.83 (0.02),1277.11 (0.02),1277.11 (0.02),,2622.51 (0.02)
