,GAT,GCNN,GIN,GatedGCNN,LiftMP
COLLAB,-68.226,-73.08,-72.822,-72.92,-67.504
ENZYMES,-21.816666666666666,-25.416666666666668,-24.116666666666667,-20.183333333333334,-20.0
"ErdosRenyi, 50.0",-58.739,-64.262,-63.499,-56.174,-55.247
"ErdosRenyi, 100.0",-129.475,-141.939,-140.057,-131.376,-126.517
"ErdosRenyi, 400.0",-443.945,-444.121,-442.114,-440.905,-420.701
IMDB-BINARY,-17.62,-19.2,-18.98,-16.78,-16.76
MUTAG,-7.7894736842105265,-8.105263157894736,-7.842105263157895,-7.7368421052631575,-7.7368421052631575
PROTEINS,-27.767857142857142,-31.071428571428573,-30.303571428571427,-25.25,-25.294642857142858
